Account,trades,total_pnl,mean_pnl,win_rate,total_volume,avg_size,max_loss,max_win,pnl_std,sharpe_proxy,profitability
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,6279,2136334.371733,340.23480995906993,0.7695492912884218,28207429.09,4492.344177416786,-5034.814032,48483.032577,2088.4924874352027,0.16290928121878778,Profitable
0x083384f897ee0f19899168e3b1bec365f52a9012,1732,1596585.477902,921.8160957863741,0.7927251732101617,30197521.86,17435.058810623555,-118071.556516,135299.80308800002,6931.999756574443,0.13297982229615238,Profitable
0xbaaaf6571ab7d571043ff1e313a9609a10637864,9997,934748.555534,93.50290642532761,0.9716915074522356,34795940.84,3480.638275482645,-6.076845,68678.75922,820.3609437038821,0.11397776447407824,Profitable
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,22551,827391.908339,36.68981013431777,0.7591237639129085,37903801.19,1680.803564808656,-22680.215909,22856.053359,351.67588381399867,0.10432847921303207,Profitable
0x513b8629fe877bb581bf244e326a047b249c4ff1,5482,803064.607938,146.49117255344765,0.8828894564027727,208878970.18,38102.69430499818,-29405.957958,19530.5225,939.7479327249805,0.15588347412322828,Profitable
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2233,673290.466943,301.5183461455441,0.948499776085983,20123109.27,9011.692463054187,-6174.326696,16294.906494,1172.9685358220142,0.25705578362678205,Profitable
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,737,428738.037777,581.7341082455902,0.746268656716418,5542302.86,7520.085291723202,-35705.501042,74438.35669599999,3682.9386892730467,0.15795378563857038,Profitable
0x430f09841d65beb3f27765503d0f850b8bce7713,599,416289.148567,694.9735368397329,1.0,1390253.66,2320.957696160267,0.660474,29989.40625,2317.336619732123,0.29990184892506894,Profitable
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8660,377360.745786,43.5751438551963,0.925635103926097,12964285.41,1497.0306478060047,-5858.443248,5945.328872,183.62583753619427,0.23730398967612581,Profitable
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,558,360425.55382,645.9239315770609,0.7741935483870968,1187048.31,2127.326720430108,-3969.2623139999996,27218.041719,2333.8339177403714,0.2767651659644105,Profitable
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2949,288645.63374799996,97.87915691692098,0.9162427941675144,64826841.9,21982.652390640895,-21586.77,8017.077464999999,1049.4086228056158,0.09327077631127687,Profitable
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,1177,218110.894918,185.31087078844521,0.7323704333050127,10242344.58,8702.076958368734,-24510.75,32737.727628999997,2288.9118239491786,0.08096024881755286,Profitable
0x420ab45e0bd8863569a5efbb9c05d91f40624641,90,199407.322567,2215.636917411111,1.0,484126.9,5379.187777777778,0.045779999999999994,25994.291,4183.9105403228905,0.5295612552078112,Profitable
0x2c229d22b100a7beb69122eed721cee9b24011dd,2060,167264.139938,81.19618443592233,0.8145631067961165,5167788.4,2508.635145631068,-1044.465028,6603.817358,316.5040908029352,0.25654071083151003,Profitable
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,6772,131363.836605,19.398085736119313,0.8533668044890727,3436045.78,507.39010336680445,-7795.485212,4395.112735,158.32240254556274,0.12252268424498121,Profitable
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,892,125449.451117,140.6383981132287,0.9708520179372198,3227118.29,3617.8456165919283,-118.16127499999999,5039.266788,388.1145580043984,0.3623631095828993,Profitable
0x6d6a4b953f202f8df5bed40692e7fd865318264a,426,108624.579633,254.98727613380282,0.9835680751173709,341856.86,802.4808920187793,-60.941491,9502.122381000001,683.536803779717,0.3730410341088296,Profitable
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,5561,104810.572416,18.847432550980038,0.9699694299586405,10339111.75,1859.2180812803454,-7146.4077640000005,2141.443404,113.44966856023768,0.16613034475994612,Profitable
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,3663,102751.051471,28.051065102648103,0.8200928200928201,2149498.16,586.8135844935846,-1389.038408,2077.375845,132.91741675234627,0.21104130510377153,Profitable
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,255,72758.02158,285.3255748235294,0.9372549019607843,307895.91,1207.4349411764704,-10343.598198000002,13402.688906000001,1237.4815659866608,0.2305695556731828,Profitable
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,230,67620.587437,294.002554073913,1.0,655894.7,2851.7160869565214,0.5584830000000001,7041.18115,707.1526246517922,0.41575544489885274,Profitable
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,714,63732.36931,89.26102144257703,0.8641456582633054,5934264.76,8311.295182072829,-1468.471895,8412.374644000001,527.3088943003756,0.16927653299085302,Profitable
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,158,53383.061858,337.86748011392405,1.0,501721.69,3175.453734177215,0.018568,20663.30098,1841.58659206584,0.18346543223619496,Profitable
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,4166,46215.466089,11.09348681925108,0.7695631301008161,6057897.81,1454.1281349015842,-6849.788332,4015.482711,177.1747332881263,0.06261325536270423,Profitable
0x8477e447846c758f5a675856001ea72298fd9cb5,6559,42255.087595,6.442306387406616,0.590638816892819,6141636.37,936.3677953956396,-2810.62776,2759.6734,103.56854865391395,0.06220330854371736,Profitable
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,230,21399.238071,93.04016552608695,0.7434782608695653,2268016.73,9860.942304347825,-544.296891,3989.402025,431.51612755271185,0.21561225545273743,Profitable
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,746,14585.199874,19.551206265415548,0.9450402144772118,2919969.5300000003,3914.1682707774803,-778.37072,1260.2832290000001,103.50430722867968,0.1888926827173553,Profitable
0x39cef799f8b69da1995852eea189df24eb5cae3c,1767,13675.572072,7.739429582342955,0.66553480475382,8584033.78,4857.970447085455,-31044.717218,7319.15959,1041.3406453306989,0.007432178525863369,Profitable
0xb899e522b5715391ae1d4f137653e7906c5e2115,2641,8723.337871,3.303043495266944,0.7837940174176449,54428452.04,20609.031442635365,-17582.337195,7052.140501,454.28518352004807,0.007270858956186729,Profitable
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,570,-31278.700035,-54.87491234210527,0.4473684210526316,818941.29,1436.7391052631579,-5981.369216,6671.100375999999,667.6817655677814,-0.08218722626842849,Unprofitable
0x271b280974205ca63b716753467d5a371de622ab,1607,-75393.33538,-46.91557895457374,0.6645924082140635,16975416.26,10563.420199128812,-26118.749688,1583.810415,843.2147093902014,-0.05563894750892884,Unprofitable
0x8170715b3b381dffb7062c0298972d4727a0a63b,2341,-168681.00946200002,-72.05510869799232,0.7522426313541222,5372038.49,2294.7622768047845,-83128.35840000001,8141.316618,2311.6145738341493,-0.031170900855866844,Unprofitable
